accepted_taxon,match_names,rank,common_name,epbc_status,epbc_listed_id,epbc_sprat_url,epbc_conservation_advice_url,epbc_recovery_plan_url,epbc_protected_matters_url,state_status,state_status_jurisdiction,state_source_url,source_dataset,source_date,notes
Argynnis hyperbius inconstans,Argynnis hyperbius inconstans,subspecies,Australian Fritillary / Laced Fritillary,Critically Endangered,88056,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88056,https://www.environment.gov.au/biodiversity/threatened/species/pubs/88056-conservation-advice-15082017.pdf,,,NSW: Endangered; QLD: Endangered,NSW; QLD,https://threatenedspecies.bionet.nsw.gov.au/profile?id=10064,Curated EPBC and state butterfly status seed list,2026-05-25,"EPBC Critically Endangered; state records use broader Argynnis hyperbius in some systems."
Ogyris petrina,Ogyris petrina|Ogyris subterrestris petrina,subspecies,Arid Bronze Azure,Critically Endangered,94250,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=94250,,,,WA: Critically Endangered,WA,https://www.dbca.wa.gov.au/management/threatened-species-and-communities/resources/threatened-and-priority-fauna-resources,Curated EPBC and state butterfly status seed list,2026-05-25,"Formerly treated as Ogyris subterrestris petrina in some sources."
Hypochrysops piceatus,Hypochrysops piceatus,species,Bulloak Jewel,Critically Endangered,77869,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77869,,,,QLD: Critically Endangered,QLD,https://wildnet.science-data.qld.gov.au/taxon-detail?taxon_id=6,Curated EPBC and state butterfly status seed list,2026-05-25,"Queensland WildNet and EPBC both indicate Critically Endangered."
Oreixenica ptunarra,Oreixenica ptunarra,species,Ptunarra Brown,Endangered,26327,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26327,,,,TAS: Endangered,TAS,https://nre.tas.gov.au/Documents/ptunarra.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Tasmanian listing statement also treats the taxon as Endangered."
Antipodia chaostola leucophaea,Antipodia chaostola leucophaea,subspecies,Tasmanian Chaostola Skipper / Heath-sand Skipper,Endangered,77672,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77672,,,,TAS: Endangered,TAS,https://nre.tas.gov.au/Documents/Chaostola%20skipper%20Listing%20Statement%20APPROVED%20BY%20GM.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Subspecies-level listing; do not automatically apply to all Antipodia chaostola records."
Paralucia pyrodiscus lucida,Paralucia pyrodiscus lucida,subspecies,Eltham Copper Butterfly,Endangered,82047,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82047,https://www.dcceew.gov.au/sites/default/files/env/pages/30bb3be9-d3e6-4a86-b09a-40ad51066fc3/files/consultation-document-listing-eltham-copper.pdf,,,VIC: Endangered,VIC,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-species/eltham-copper-butterfly,Curated EPBC and state butterfly status seed list,2026-05-25,"Subspecies-level listing; Victorian material treats Eltham Copper Butterfly as a flagship threatened butterfly."
Paralucia spinifera,Paralucia spinifera,species,Purple Copper / Bathurst Copper,Vulnerable,26335,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26335,,,,NSW: Endangered,NSW,https://www.environment.nsw.gov.au/sites/default/files/2025-03/conservation-assessment-report-paralucia-spinifera.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Commonwealth status Vulnerable; NSW status Endangered."
Hesperilla munionga larana,Hesperilla munionga larana|Oreisplanus munionga larana,subspecies,Marrawah Skipper / Alpine Sedge Skipper,Vulnerable,94585,https://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=94585,,,,TAS: Endangered,TAS,https://nre.tas.gov.au/Documents/Marrawah%20Skipper%20Listing%20Statement.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"Oreisplanus munionga larana is included as a synonym/match name."
Jalmenus eubulus,Jalmenus eubulus,species,Pale Imperial Hairstreak / Pale Imperial Blue,,,,,,,NSW: Critically Endangered; QLD: Vulnerable,NSW; QLD,https://threatenedspecies.bionet.nsw.gov.au/profile?id=20123,Curated EPBC and state butterfly status seed list,2026-05-25,"State-listed; not treated as current EPBC-listed in this curated seed."
Ocybadistes knightorum,Ocybadistes knightorum,species,Black Grass-dart,,,,,,,NSW: Endangered,NSW,https://www.environment.nsw.gov.au/sites/default/files/2024-09/conservation-assessment-report-ocybadistes-knightorum.pdf,Curated EPBC and state butterfly status seed list,2026-05-25,"NSW conservation assessment/final-determination material."
